Vocab,Vocab Answers,Noun Endings,Noun Answers,Verb Endings,Verb Answers,Culture,,History,History Answers,Adjectives / Adverbs,Adjectives / Adverbs Answers,Conjunctions ,Conjunction Answers, 
"English meaning of: agricola, agricolae, f.",farmer,How many declensions are there?,5,A gerund is a ____ noun. ,Verbal,"Why was the location of Rome ideal?",,What was the name of the she-wolf who raised Romulus and Remus?,Lupa,Define this adverb: ferē?,"almost, nearly, generally, usually",Define: et,and, 
"True of False: habito, habitare means ‘to live’",true ,How many genders are there in latin,3,How many forms do gerunds have? ,Four,What made crossing the Tiber river easier?,,How many times was Caesar stabbed?,23 times,Define this adverb: accidit?,"It happens, it befalls (+ dat, usually negative)",Distinguish: between et and que,"They both mean “and”, but que joins 2 things that go together (ex: “pueri puellaeque”, or “viri and feminaeque”). While, et combines things that don’t go together (ex: “viri et hastae”, or “arbris et hominis”).", 
"Give a derivative for specto, spectare","spectacular, inspect, respect",What vowel is the first declension based around,a,True or false: Gerund do not agree with anything.,true ,Who gave the City of Rome its first sewer?,,Who finally defeated Hannibal?,Scipio,Define this adverb:contigit?,"It happens, it befalls, it has an impact (+ acc, usually positive)",Term for but,sed, 
"True or false: verbum, verbi, n. means verb",False it means word,What case would apposition fall under,all of the cases,Which case does not have a gerund-specific form? ,Nominative,A level area near Palatine Hill would eventually become what?,,Where was Hannibal Barca from?,Carthage,Define this adverb: ēvenit ?,"It happens, it turns out (+ dat, usually positive)",Define: atque:,"yet, as well as, moreover", 
"English meaning of: perīculum, perīculī, n.","danger, risk",Which gender is given preferential treatment for groups,masculine,How are gerunds translated? -,-ing,Under who would Campus Martinis be used for military things?,,How many Punic Wars were there?,3,Define this adverb: fit?,"It happens, it is made, it becomes, it is done (+abl, positive/negative)",Define: si,if,
"Give a derivative for bonus, bona, bonum",bonus,Which case is used for subjects,nominative,What is used in place of the nominative gerund? ,present active infinitive,Where was Rome’s civic center located?,,After who was Rome named?,Romulus,Define this adverb: tandem?,"At length, at last",Define: nec,"and not, not either, not even", 
"English meaning of: equus, equi, m.",horse,Which case displays the manner in which things are done,ablative,"Which is the genitive gerund of the verb “fingo, fingere, finxi, finctum""? ",fingendi,Why where the shops of the Argentariae Novae?,,What animal served as the standard for a Roman legion?,Eagle,Define this adverb: vulgō?,"Publicly, commonly",What is the Latin term for: or,vel,
"True or False: campus, campī, m. means ‘camp out’","False it means plain, meadow",Which case does place to which,accusative,"Which is the dative gerund of the verb meaning “to care for, to take care of""?",curando,When was the Marshy Part of the Forum drained?,,Who led the Third Servile War (the slave revolt) that Hollywood made a movie about in 1960?,Spartacus,Define this adverb: forīs?,"Out, outdoors, outside, not at home",Define: neque,"nor, not either",
"True or False: ‘umbrella’ is a derivative of ‘umbra, umbrae, f.",true ,To which case is the description company ascribed,ablative,How do you form the present active infinitive?,"Second form of the verb/ second form of the verb - e + ī, third part - i + isse, none",What would eventually replace the Argentariae Novae?,,Which month was Caesar assassinated?,March,Define this adverb: forās?,"To outdoors, (to) out",Define: ut (with an indicative),"while, as, just",
"English meaning of: frumentum, frumentī, n.",grain,What latin case is 'arborem' in,accusative,How do you form the present passive infinitive?,"Second form of the verb - e + ī/ second form of the verb, third part - i + isse, none",During what time was the Temple of Vesta built?,,How many people were in a legion?,Around 4000-6000,Define this adverb: adhūc?,"Thus far, till now",Define: cum (when in a temporal clause),when,
"Give a derivative for copia, copiae, f.","copious, copy",What latin cases could 'Fontibus' be in,dative or ablative,How do you form the perfect active infinitive?,"Third part - i + isse/ second form of the verb - e + ī, second form of the verb, none",Who made lots of renovations to the Forum?,,How many people were in a century?,80,Define this adverb: frūstrā?,In vain,Define: cum (when in a causal or circumstantial clause),"since, when",
"True or False: aqua, aquae, f. means ‘water’",true ,What does -ārum signify,1st declension genitive plural,How many different types of participles are there?,4,Why couldn’t Julius Caesar renovate some of the buildings?,,What does SPQR stand for and mean?,"Senatus Populusque Romanus, the senate and the people of Rome",Define this adverb: quondam?,"Once, sometime",Define: cum (when in a concessive clause),although,
